,date,open,high,low,close,ticker,, 
7966,20/08/1998,148.95,148.95,148.95,148.95,SP500BDT,,
7967,21/08/1998,149,149,149,149,SP500BDT,,
7968,24/08/1998,148.99,148.99,148.99,148.99,SP500BDT,,
7969,25/08/1998,149.24,149.24,149.24,149.24,SP500BDT,,
7970,26/08/1998,149.15,149.15,149.15,149.15,SP500BDT,,
7971,27/08/1998,149.14,149.14,149.14,149.14,SP500BDT,,
7972,28/08/1998,148.76,148.76,148.76,148.76,SP500BDT,,
7973,31/08/1998,149.11,149.11,149.11,149.11,SP500BDT,,
7974,01/09/1998,148.89,148.89,148.89,148.89,SP500BDT,,
7975,02/09/1998,148.55,148.55,148.55,148.55,SP500BDT,,
7976,03/09/1998,148.98,148.98,148.98,148.98,SP500BDT,,
7977,04/09/1998,149.24,149.24,149.24,149.24,SP500BDT,,
7978,07/09/1998,149.32,149.32,149.32,149.32,SP500BDT,,
7979,08/09/1998,149.02,149.02,149.02,149.02,SP500BDT,,
7980,09/09/1998,149.89,149.89,149.89,149.89,SP500BDT,,
7981,10/09/1998,151.12,151.12,151.12,151.12,SP500BDT,,
7982,11/09/1998,150.31,150.31,150.31,150.31,SP500BDT,,
7983,14/09/1998,149.95,149.95,149.95,149.95,SP500BDT,,
7984,15/09/1998,149.95,149.95,149.95,149.95,SP500BDT,,
7985,16/09/1998,150.02,150.02,150.02,150.02,SP500BDT,,
7986,17/09/1998,150.11,150.11,150.11,150.11,SP500BDT,,
7987,18/09/1998,150.18,150.18,150.18,150.18,SP500BDT,,
7988,21/09/1998,150.28,150.28,150.28,150.28,SP500BDT,,
7989,22/09/1998,150.48,150.48,150.48,150.48,SP500BDT,,
7990,23/09/1998,150.55,150.55,150.55,150.55,SP500BDT,,
7991,24/09/1998,150.81,150.81,150.81,150.81,SP500BDT,,
7992,25/09/1998,150.9,150.9,150.9,150.9,SP500BDT,,
7993,28/09/1998,151.01,151.01,151.01,151.01,SP500BDT,,
7994,29/09/1998,151.12,151.12,151.12,151.12,SP500BDT,,
7995,30/09/1998,151.48,151.48,151.48,151.48,SP500BDT,,
7996,01/10/1998,151.82,151.82,151.82,151.82,SP500BDT,,
7997,02/10/1998,151.81,151.81,151.81,151.81,SP500BDT,,
7998,05/10/1998,152.35,152.35,152.35,152.35,SP500BDT,,
7999,06/10/1998,152.73,152.73,152.73,152.73,SP500BDT,,
8000,07/10/1998,152.15,152.15,152.15,152.15,SP500BDT,,
8001,08/10/1998,151.33,151.33,151.33,151.33,SP500BDT,,
8002,09/10/1998,150.29,150.29,150.29,150.29,SP500BDT,,
8003,12/10/1998,150.33,150.33,150.33,150.33,SP500BDT,,
8004,13/10/1998,150.59,150.59,150.59,150.59,SP500BDT,,
8005,14/10/1998,151.34,151.34,151.34,151.34,SP500BDT,,
8006,15/10/1998,151.3,151.3,151.3,151.3,SP500BDT,,
8007,16/10/1998,152.05,152.05,152.05,152.05,SP500BDT,,
8008,19/10/1998,152.06,152.06,152.06,152.06,SP500BDT,,
8009,20/10/1998,151.77,151.77,151.77,151.77,SP500BDT,,
8010,21/10/1998,151.64,151.64,151.64,151.64,SP500BDT,,
8011,22/10/1998,151.44,151.44,151.44,151.44,SP500BDT,,
8012,23/10/1998,151.22,151.22,151.22,151.22,SP500BDT,,
8013,26/10/1998,151.5,151.5,151.5,151.5,SP500BDT,,
8014,27/10/1998,152.02,152.02,152.02,152.02,SP500BDT,,
8015,28/10/1998,152.05,152.05,152.05,152.05,SP500BDT,,
8016,29/10/1998,152.28,152.28,152.28,152.28,SP500BDT,,
8017,30/10/1998,151.79,151.79,151.79,151.79,SP500BDT,,
8018,02/11/1998,151.11,151.11,151.11,151.11,SP500BDT,,
8019,03/11/1998,151.15,151.15,151.15,151.15,SP500BDT,,
8020,04/11/1998,150.58,150.58,150.58,150.58,SP500BDT,,
8021,05/11/1998,150.68,150.68,150.68,150.68,SP500BDT,,
8022,06/11/1998,150.17,150.17,150.17,150.17,SP500BDT,,
8023,09/11/1998,150.8,150.8,150.8,150.8,SP500BDT,,
8024,10/11/1998,151.06,151.06,151.06,151.06,SP500BDT,,
8025,11/11/1998,151.12,151.12,151.12,151.12,SP500BDT,,
8026,12/11/1998,151.42,151.42,151.42,151.42,SP500BDT,,
8027,13/11/1998,151.42,151.42,151.42,151.42,SP500BDT,,
8028,16/11/1998,151.48,151.48,151.48,151.48,SP500BDT,,
8029,17/11/1998,151.48,151.48,151.48,151.48,SP500BDT,,
8030,18/11/1998,151.78,151.78,151.78,151.78,SP500BDT,,
8031,19/11/1998,151.83,151.83,151.83,151.83,SP500BDT,,
8032,20/11/1998,152.11,152.11,152.11,152.11,SP500BDT,,
8033,23/11/1998,152.18,152.18,152.18,152.18,SP500BDT,,
8034,24/11/1998,152.44,152.44,152.44,152.44,SP500BDT,,
8035,25/11/1998,152.75,152.75,152.75,152.75,SP500BDT,,
8036,26/11/1998,152.81,152.81,152.81,152.81,SP500BDT,,
8037,27/11/1998,153.06,153.06,153.06,153.06,SP500BDT,,
8038,30/11/1998,153.85,153.85,153.85,153.85,SP500BDT,,
8039,01/12/1998,154.06,154.06,154.06,154.06,SP500BDT,,
8040,02/12/1998,154.55,154.55,154.55,154.55,SP500BDT,,
8041,03/12/1998,154.67,154.67,154.67,154.67,SP500BDT,,
8042,04/12/1998,154.39,154.39,154.39,154.39,SP500BDT,,
8043,07/12/1998,154.4,154.4,154.4,154.4,SP500BDT,,
8044,08/12/1998,154.93,154.93,154.93,154.93,SP500BDT,,
8045,09/12/1998,155.24,155.24,155.24,155.24,SP500BDT,,
8046,10/12/1998,155.28,155.28,155.28,155.28,SP500BDT,,
8047,11/12/1998,154.81,154.81,154.81,154.81,SP500BDT,,
8048,14/12/1998,155.01,155.01,155.01,155.01,SP500BDT,,
8049,15/12/1998,154.73,154.73,154.73,154.73,SP500BDT,,
8050,16/12/1998,155.01,155.01,155.01,155.01,SP500BDT,,
8051,17/12/1998,155.09,155.09,155.09,155.09,SP500BDT,,
8052,18/12/1998,155.07,155.07,155.07,155.07,SP500BDT,,
8053,21/12/1998,154.74,154.74,154.74,154.74,SP500BDT,,
8054,22/12/1998,154.32,154.32,154.32,154.32,SP500BDT,,
8055,23/12/1998,153.71,153.71,153.71,153.71,SP500BDT,,
8056,24/12/1998,153.29,153.29,153.29,153.29,SP500BDT,,
8057,25/12/1998,153.27,153.27,153.27,153.27,SP500BDT,,
